user 1   scene:1
time: 19.933258533477783, score: [210.45502]
time: 19.947211503982544, score: [213.88913]
time: 19.958160877227783, score: [217.32321]
time: 19.968416929244995, score: [220.7573]
time: 19.9801025390625, score: [224.19138]
time: 19.990867614746094, score: [227.66602]
time: 20.001722812652588, score: [231.1579]
time: 20.01201605796814, score: [234.65262]
time: 20.022135019302368, score: [238.14886]
time: 20.03634786605835, score: [241.64929]
time: 20.04971408843994, score: [245.15091]
time: 20.06223201751709, score: [248.65402]
time: 20.073219776153564, score: [252.15866]
time: 20.083735466003418, score: [255.66412]
time: 20.094316959381104, score: [259.17056]
time: 20.10501480102539, score: [262.67786]
time: 20.11594843864441, score: [266.18555]
time: 20.127468585968018, score: [269.6932]
time: 20.13787817955017, score: [273.2009]
time: 20.149672985076904, score: [276.7086]
time: 20.160627841949463, score: [280.21628]
time: 20.170555114746094, score: [283.72397]
time: 20.182142972946167, score: [287.23163]
time: 20.193567991256714, score: [290.73932]
time: 20.204667568206787, score: [294.24704]
time: 20.21454119682312, score: [297.75467]
time: 20.226173162460327, score: [301.26236]
time: 20.236932516098022, score: [304.77005]
time: 20.248162984848022, score: [308.27774]
time: 20.25900363922119, score: [311.78543]
time: 20.269591093063354, score: [315.29312]
time: 20.280121088027954, score: [318.80078]
time: 20.289636373519897, score: [322.3085]
time: 20.29981756210327, score: [323.47638]
time: 20.309653520584106, score: [323.47638]
time: 20.31994128227234, score: [323.47638]
time: 20.330079793930054, score: [323.47638]
time: 20.340890884399414, score: [323.47638]
time: 20.350498914718628, score: [323.47638]
time: 20.36168336868286, score: [323.47638]
time: 20.371625900268555, score: [323.47638]
time: 20.382067918777466, score: [323.47638]
time: 20.39293646812439, score: [323.47638]
time: 20.403902292251587, score: [323.47638]
time: 20.414243698120117, score: [323.47638]
time: 20.424999713897705, score: [323.47638]
time: 20.43667984008789, score: [323.47638]
time: 20.44788908958435, score: [323.47638]
time: 20.458269119262695, score: [323.47638]
time: 20.468595504760742, score: [323.47638]
time: 20.479013681411743, score: [323.47638]
time: 20.490148305892944, score: [323.47638]
time: 20.501925468444824, score: [323.47638]
time: 20.512850999832153, score: [323.47638]
time: 20.523531913757324, score: [323.47638]
time: 20.53429412841797, score: [323.47638]
time: 20.544735431671143, score: [323.47638]
time: 20.555234670639038, score: [323.47638]
time: 20.566627740859985, score: [323.47638]
