user 4   scene:2
time: 31.825663566589355, score: [236.59871]
time: 31.84687304496765, score: [239.60263]
time: 31.86409640312195, score: [242.65726]
time: 31.877803564071655, score: [245.77654]
time: 31.8940691947937, score: [248.90446]
time: 31.908194065093994, score: [252.06613]
time: 31.919650077819824, score: [255.2534]
time: 31.931010723114014, score: [258.4374]
time: 31.942728757858276, score: [261.61606]
time: 31.95677161216736, score: [264.78665]
time: 31.96861696243286, score: [267.94656]
time: 31.97927498817444, score: [271.0943]
time: 31.992136001586914, score: [274.22778]
time: 32.004740476608276, score: [277.34705]
time: 32.01819682121277, score: [280.45285]
time: 32.02962779998779, score: [283.54617]
time: 32.04159665107727, score: [286.61414]
time: 32.05464315414429, score: [289.50388]
time: 32.06675314903259, score: [292.39423]
time: 32.07753777503967, score: [295.2849]
time: 32.089866161346436, score: [298.17578]
time: 32.10186529159546, score: [301.0677]
time: 32.11530804634094, score: [303.97607]
time: 32.13001847267151, score: [307.0714]
time: 32.14358878135681, score: [310.06717]
time: 32.15915846824646, score: [313.08826]
time: 32.17439317703247, score: [316.0213]
time: 32.18964695930481, score: [319.05002]
time: 32.20137429237366, score: [322.0056]
time: 32.21267628669739, score: [325.0369]
time: 32.224841833114624, score: [328.00058]
time: 32.23829126358032, score: [331.0338]
time: 32.25060772895813, score: [334.00522]
time: 32.265570402145386, score: [335.0729]
time: 32.277369260787964, score: [335.08597]
time: 32.29326128959656, score: [335.07474]
time: 32.30467677116394, score: [335.08102]
time: 32.31607508659363, score: [335.0765]
time: 32.329282999038696, score: [335.0792]
time: 32.34214186668396, score: [335.0774]
time: 32.35681915283203, score: [335.07852]
time: 32.36896896362305, score: [335.07776]
time: 32.38292956352234, score: [335.07825]
time: 32.39573097229004, score: [335.07794]
time: 32.4070930480957, score: [335.07812]
time: 32.42191123962402, score: [335.078]
time: 32.43635392189026, score: [335.07806]
time: 32.4491491317749, score: [335.078]
time: 32.46290183067322, score: [335.07806]
time: 32.47370409965515, score: [335.07806]
time: 32.48681449890137, score: [335.07803]
time: 32.500195026397705, score: [335.07806]
time: 32.51328110694885, score: [335.07803]
time: 32.52329993247986, score: [335.07806]
time: 32.53665065765381, score: [335.07806]
time: 32.55256938934326, score: [335.07806]
time: 32.567413568496704, score: [335.07806]
time: 32.581053256988525, score: [335.07806]
time: 32.595173358917236, score: [335.07806]
time: 32.60857176780701, score: [335.07806]
time: 32.621013879776, score: [335.07806]
time: 32.6324667930603, score: [335.07806]
time: 32.6433322429657, score: [335.07806]
time: 32.65823411941528, score: [335.07806]
time: 32.67327404022217, score: [335.07806]
