user 8   scene:1
time: 0.12990593910217285, score: [210.45502]
time: 0.16022348403930664, score: [213.88913]
time: 0.1785445213317871, score: [217.32321]
time: 0.19809770584106445, score: [220.7573]
time: 0.21579265594482422, score: [224.19138]
time: 0.23566198348999023, score: [227.66602]
time: 0.25356245040893555, score: [231.1579]
time: 0.2720489501953125, score: [234.65262]
time: 0.28984928131103516, score: [238.14886]
time: 0.30883336067199707, score: [241.64929]
time: 0.32801151275634766, score: [245.15091]
time: 0.3465118408203125, score: [248.65402]
time: 0.3650062084197998, score: [252.15866]
time: 0.3839993476867676, score: [255.66412]
time: 0.4034292697906494, score: [259.17056]
time: 0.4213123321533203, score: [262.67786]
time: 0.4393153190612793, score: [266.18555]
time: 0.45827579498291016, score: [269.6932]
time: 0.47746872901916504, score: [273.2009]
time: 0.49675703048706055, score: [276.7086]
time: 0.5154988765716553, score: [280.21628]
time: 0.5429024696350098, score: [283.72397]
time: 0.5622355937957764, score: [287.23163]
time: 0.5813324451446533, score: [290.73932]
time: 0.600388765335083, score: [294.24704]
time: 0.6191442012786865, score: [297.75467]
time: 0.6381974220275879, score: [301.26236]
time: 0.6583864688873291, score: [304.77005]
time: 0.6763460636138916, score: [308.27774]
time: 0.696448564529419, score: [311.78543]
time: 0.7160811424255371, score: [315.29312]
time: 0.7359523773193359, score: [318.80078]
time: 0.7545998096466064, score: [322.3085]
time: 0.7737953662872314, score: [323.47638]
time: 0.7919633388519287, score: [323.47638]
time: 0.8097693920135498, score: [323.47638]
time: 0.8269777297973633, score: [323.47638]
time: 0.8451876640319824, score: [323.47638]
time: 0.8641464710235596, score: [323.47638]
time: 0.8830075263977051, score: [323.47638]
time: 0.9008145332336426, score: [323.47638]
time: 0.9190447330474854, score: [323.47638]
time: 0.9368548393249512, score: [323.47638]
time: 0.9547543525695801, score: [323.47638]
time: 0.9720637798309326, score: [323.47638]
time: 0.9908337593078613, score: [323.47638]
time: 1.0088207721710205, score: [323.47638]
time: 1.0288898944854736, score: [323.47638]
time: 1.047870397567749, score: [323.47638]
time: 1.0672776699066162, score: [323.47638]
time: 1.0867588520050049, score: [323.47638]
time: 1.1062188148498535, score: [323.47638]
time: 1.1254830360412598, score: [323.47638]
time: 1.1437757015228271, score: [323.47638]
