user 38   scene:3
time: 1.4861738681793213, score: [263.8268]
time: 3.4150960445404053, score: [266.24023]
time: 5.400137186050415, score: [268.65366]
time: 7.484488248825073, score: [271.06708]
time: 9.689422369003296, score: [273.48172]
time: 11.997337341308594, score: [275.89645]
time: 14.37769079208374, score: [278.3112]
time: 16.726311922073364, score: [280.7325]
time: 19.262457370758057, score: [283.18488]
time: 21.91503381729126, score: [285.63724]
time: 24.614036560058594, score: [288.09454]
time: 27.555120706558228, score: [290.5542]
time: 30.4925537109375, score: [293.01376]
time: 33.55551028251648, score: [295.47342]
time: 36.77946877479553, score: [297.933]
time: 40.01147246360779, score: [300.39352]
time: 43.37581515312195, score: [302.85544]
time: 46.847196102142334, score: [305.31863]
time: 50.47630572319031, score: [307.78357]
time: 54.10129714012146, score: [310.24854]
time: 57.83415627479553, score: [312.71445]
time: 61.651742696762085, score: [315.18076]
time: 65.58863425254822, score: [317.64792]
time: 69.77336812019348, score: [320.11783]
time: 73.70651459693909, score: [322.59286]
time: 78.06423759460449, score: [325.10757]
time: 82.3308162689209, score: [327.63275]
time: 86.59930157661438, score: [330.15964]
time: 91.08377170562744, score: [332.6865]
time: 95.96030282974243, score: [335.21338]
time: 102.79997611045837, score: [337.74045]
time: 113.59740996360779, score: [340.27267]
time: 124.47870898246765, score: [342.80566]
time: 135.32177710533142, score: [345.33865]
time: 147.22427129745483, score: [347.87173]
time: 158.38842034339905, score: [350.40622]
time: 169.41090846061707, score: [352.94766]
time: 180.24311137199402, score: [355.52023]
time: 191.21794271469116, score: [358.11987]
time: 202.0535547733307, score: [360.72202]
time: 212.634592294693, score: [363.32986]
