user 16   scene:2
time: 0.05464601516723633, score: [236.51936]
time: 0.17882037162780762, score: [239.58842]
time: 0.29853272438049316, score: [242.63431]
time: 0.4161367416381836, score: [245.7403]
time: 0.5226638317108154, score: [248.8472]
time: 0.6212432384490967, score: [251.93463]
time: 0.7303929328918457, score: [255.05249]
time: 0.7979600429534912, score: [258.1474]
time: 0.927466630935669, score: [261.21918]
time: 1.0296976566314697, score: [264.27252]
time: 1.0863587856292725, score: [267.31195]
time: 1.1717960834503174, score: [270.3408]
time: 1.2478671073913574, score: [273.3623]
time: 1.3462622165679932, score: [276.3774]
time: 1.4428679943084717, score: [279.38693]
time: 1.5220847129821777, score: [282.3915]
time: 1.602992296218872, score: [285.3916]
time: 1.6982178688049316, score: [288.38727]
time: 1.794036865234375, score: [291.37866]
time: 1.8803975582122803, score: [294.3657]
time: 1.9697856903076172, score: [297.34842]
time: 2.054064989089966, score: [300.32684]
time: 2.1365177631378174, score: [303.3011]
time: 2.216135025024414, score: [306.2712]
time: 2.2976620197296143, score: [309.2375]
time: 2.363743782043457, score: [312.20016]
time: 2.4323325157165527, score: [315.1595]
time: 2.5130343437194824, score: [318.11963]
time: 2.5919365882873535, score: [321.07733]
time: 2.6608595848083496, score: [324.03247]
time: 2.7227067947387695, score: [326.98535]
time: 2.790505886077881, score: [329.93622]
time: 2.8631772994995117, score: [332.88525]
time: 2.9244213104248047, score: [334.39963]
time: 3.024029016494751, score: [334.39673]
time: 3.078352689743042, score: [334.39386]
time: 3.1370456218719482, score: [334.39096]
time: 3.1862423419952393, score: [334.38806]
time: 3.248157501220703, score: [334.3852]
time: 3.302276611328125, score: [334.38226]
time: 3.3541698455810547, score: [334.3794]
time: 3.401625156402588, score: [334.3765]
time: 3.4499120712280273, score: [334.3736]
time: 3.496600866317749, score: [334.37073]
time: 3.5432400703430176, score: [334.3678]
time: 3.595601797103882, score: [334.36493]
time: 3.6476731300354004, score: [334.36203]
time: 3.696713924407959, score: [334.35913]
time: 3.7500550746917725, score: [334.35623]
time: 3.8174967765808105, score: [334.35333]
time: 3.8788957595825195, score: [334.35046]
time: 3.922708034515381, score: [334.34756]
time: 3.9603395462036133, score: [334.34467]
time: 4.0049285888671875, score: [334.34177]
