user 9   scene:2
time: 0.30286741256713867, score: [236.47917]
time: 0.4599795341491699, score: [239.567]
time: 0.5816249847412109, score: [242.60936]
time: 0.7031798362731934, score: [245.69505]
time: 0.8143026828765869, score: [248.76173]
time: 0.8922185897827148, score: [251.79936]
time: 0.9628527164459229, score: [254.8267]
time: 1.0576121807098389, score: [257.8689]
time: 1.129854679107666, score: [260.89636]
time: 1.223067045211792, score: [263.91345]
time: 1.3536052703857422, score: [266.92404]
time: 1.476088047027588, score: [269.92944]
time: 1.5956315994262695, score: [272.9289]
time: 1.7095232009887695, score: [275.92297]
time: 1.8295056819915771, score: [278.91083]
time: 1.940795660018921, score: [281.89246]
time: 2.062161684036255, score: [284.86795]
time: 2.183684825897217, score: [287.8377]
time: 2.32704758644104, score: [290.8022]
time: 2.465500593185425, score: [293.76205]
time: 2.6019392013549805, score: [296.7179]
time: 2.7708559036254883, score: [299.67035]
time: 2.932718515396118, score: [302.61993]
time: 3.0944583415985107, score: [305.56708]
time: 3.2471041679382324, score: [308.51224]
time: 3.401634454727173, score: [311.4557]
time: 3.569298267364502, score: [314.3978]
time: 3.727433681488037, score: [317.33865]
time: 3.877023458480835, score: [320.27863]
time: 4.043946743011475, score: [323.2178]
time: 4.199992418289185, score: [326.1563]
time: 4.3579487800598145, score: [329.09433]
time: 4.417856454849243, score: [332.0319]
time: 4.576924085617065, score: [333.57916]
time: 4.748068571090698, score: [333.6457]
time: 4.930753469467163, score: [333.62762]
time: 5.095091104507446, score: [333.60956]
time: 5.268497705459595, score: [333.5915]
time: 5.434274911880493, score: [333.57343]
time: 5.612339019775391, score: [333.55536]
time: 5.807709455490112, score: [333.5373]
time: 6.009509086608887, score: [333.51926]
time: 6.195195913314819, score: [333.5012]
time: 6.386694431304932, score: [333.4831]
time: 6.59282660484314, score: [333.46506]
time: 6.782519817352295, score: [333.44702]
time: 6.96598219871521, score: [333.44617]
time: 7.150876045227051, score: [333.4457]
time: 7.346219778060913, score: [333.44525]
time: 7.540819406509399, score: [333.4448]
time: 7.738824367523193, score: [333.44437]
time: 7.954829454421997, score: [333.4439]
time: 8.16567587852478, score: [333.44342]
time: 8.367493629455566, score: [333.443]
time: 8.604480028152466, score: [333.4425]
time: 8.851598024368286, score: [333.44208]
time: 9.07366943359375, score: [333.4416]
time: 9.279868602752686, score: [333.44116]
time: 9.52773666381836, score: [333.4407]
time: 9.753245115280151, score: [333.44028]
time: 9.970393657684326, score: [333.43982]
time: 10.232301235198975, score: [333.43933]
time: 10.500795602798462, score: [333.4389]
