user 12   scene:2
time: 0.04957699775695801, score: [236.59981]
time: 0.29442310333251953, score: [239.60362]
time: 0.49500107765197754, score: [242.65974]
time: 0.6616950035095215, score: [245.7801]
time: 0.8325417041778564, score: [248.90915]
time: 0.9903957843780518, score: [252.07439]
time: 1.1789612770080566, score: [255.26479]
time: 1.3629610538482666, score: [258.45435]
time: 1.5756735801696777, score: [261.64264]
time: 1.7965829372406006, score: [264.82916]
time: 2.0016226768493652, score: [268.01364]
time: 2.214109420776367, score: [271.19534]
time: 2.4131476879119873, score: [274.3723]
time: 2.6005570888519287, score: [277.5431]
time: 2.77683687210083, score: [280.70615]
time: 2.955796003341675, score: [283.86035]
time: 3.141327142715454, score: [287.0047]
time: 3.3340277671813965, score: [289.89374]
time: 3.5248970985412598, score: [292.78345]
time: 3.707066535949707, score: [295.5658]
time: 3.9036705493927, score: [298.34802]
time: 4.0918824672698975, score: [301.1308]
time: 4.2977001667022705, score: [303.91644]
time: 4.50774621963501, score: [306.80707]
time: 4.723430633544922, score: [309.8855]
time: 4.93718147277832, score: [312.91486]
time: 5.151195287704468, score: [315.89728]
time: 5.3394389152526855, score: [318.8957]
time: 5.53255558013916, score: [321.88733]
time: 5.726492404937744, score: [324.8802]
time: 5.925174951553345, score: [327.87555]
time: 6.1145241260528564, score: [330.87357]
time: 6.308901786804199, score: [333.8803]
time: 6.494529962539673, score: [334.93448]
time: 6.669661045074463, score: [334.9723]
time: 6.8531506061553955, score: [335.02988]
time: 7.041200876235962, score: [335.02496]
time: 7.224656820297241, score: [335.16223]
time: 7.427824258804321, score: [335.0906]
time: 7.637051105499268, score: [335.21518]
time: 7.839515924453735, score: [335.2293]
time: 8.043277502059937, score: [335.25497]
time: 8.247314453125, score: [335.25616]
time: 8.49551510810852, score: [335.26053]
time: 8.738739252090454, score: [335.25504]
time: 8.963590860366821, score: [335.2668]
time: 9.169778108596802, score: [335.2486]
time: 9.381938457489014, score: [335.28125]
time: 9.57593297958374, score: [335.24515]
time: 9.766252994537354, score: [335.26587]
time: 9.9576256275177, score: [335.28442]
time: 10.143453598022461, score: [335.2013]
time: 10.372042655944824, score: [335.29047]
time: 10.63621735572815, score: [335.2314]
time: 10.850064754486084, score: [335.31696]
time: 11.077696084976196, score: [335.19464]
time: 11.290223360061646, score: [335.28458]
time: 11.503846406936646, score: [335.23856]
time: 11.73766565322876, score: [335.29407]
time: 11.939636945724487, score: [335.20438]
time: 12.146801710128784, score: [335.29233]
time: 12.348349332809448, score: [335.22995]
time: 12.394263982772827, score: [335.3205]
time: 12.569833755493164, score: [335.19537]
time: 12.7400221824646, score: [335.2815]
time: 12.904961109161377, score: [335.24493]
time: 13.068632125854492, score: [335.26837]
time: 13.22920274734497, score: [335.27972]
time: 13.377651453018188, score: [335.21127]
time: 13.5217764377594, score: [335.28217]
time: 13.695303440093994, score: [335.25604]
time: 13.856190919876099, score: [335.24847]
time: 14.020400285720825, score: [335.27286]
time: 14.169118165969849, score: [335.27286]
time: 14.32407832145691, score: [335.23587]
time: 14.465941667556763, score: [335.28082]
time: 14.617215871810913, score: [335.2259]
time: 14.753852605819702, score: [335.31345]
time: 14.896050214767456, score: [335.1917]
time: 15.01645565032959, score: [335.28613]
time: 15.128105878829956, score: [335.23566]
time: 15.250365018844604, score: [335.30365]
time: 15.369934320449829, score: [335.19586]
time: 15.469136953353882, score: [335.2922]
time: 15.577708721160889, score: [335.22797]
