user 71   scene:3
time: 0.03843522071838379, score: [268.65555]
time: 0.25220251083374023, score: [275.89835]
time: 0.4441065788269043, score: [283.1871]
time: 0.634563684463501, score: [290.55637]
time: 0.8267526626586914, score: [297.93488]
time: 0.9941680431365967, score: [305.32004]
time: 1.187842845916748, score: [312.71497]
time: 1.3862535953521729, score: [320.1172]
time: 1.5695068836212158, score: [327.63135]
time: 1.7683353424072266, score: [335.20917]
time: 1.9816632270812988, score: [342.79776]
time: 2.182774305343628, score: [350.39285]
time: 2.384207010269165, score: [358.0411]
time: 2.5919384956359863, score: [365.8597]
time: 2.854196310043335, score: [373.69196]
time: 3.1202478408813477, score: [381.52368]
time: 3.3444950580596924, score: [389.3598]
time: 3.5478029251098633, score: [397.19644]
time: 3.6086299419403076, score: [405.03296]
time: 3.8160693645477295, score: [412.86755]
time: 4.000294923782349, score: [420.69992]
time: 4.194038391113281, score: [428.37137]
time: 4.388253927230835, score: [435.65134]
time: 4.580912351608276, score: [442.92365]
time: 4.836505174636841, score: [447.80423]
time: 5.0595269203186035, score: [452.60504]
time: 5.292896509170532, score: [454.93008]
time: 5.517580986022949, score: [457.43436]
time: 5.734102010726929, score: [462.28275]
time: 5.9538702964782715, score: [467.16733]
time: 6.166669130325317, score: [472.50204]
time: 6.370577573776245, score: [477.8478]
time: 6.549367666244507, score: [483.19452]
time: 6.750069618225098, score: [487.1245]
time: 6.9256720542907715, score: [489.39786]
time: 7.100088596343994, score: [491.67172]
time: 7.266824245452881, score: [494.37054]
time: 7.430936574935913, score: [495.93283]
time: 7.604243278503418, score: [497.27496]
time: 7.7499754428863525, score: [498.55118]
time: 7.9097371101379395, score: [499.4782]
time: 8.09444808959961, score: [500.40372]
time: 8.266170740127563, score: [501.36203]
time: 8.333703517913818, score: [502.3562]
time: 8.483030796051025, score: [503.3505]
time: 8.639670848846436, score: [504.1847]
time: 8.774271488189697, score: [504.94528]
time: 8.909239053726196, score: [505.7054]
time: 9.063715696334839, score: [506.46]
time: 9.201299905776978, score: [505.33823]
time: 9.332584381103516, score: [505.30515]
time: 9.446446895599365, score: [506.08286]
time: 9.56775689125061, score: [505.4184]
time: 9.628143310546875, score: [506.25766]
time: 9.755906343460083, score: [505.356]
time: 9.850280284881592, score: [506.13675]
time: 9.963210344314575, score: [505.25723]
time: 10.06529974937439, score: [506.12808]
time: 10.163331270217896, score: [505.28033]
time: 10.263702869415283, score: [506.1606]
time: 10.344238519668579, score: [505.30713]
time: 10.4185209274292, score: [506.17636]
time: 10.516961812973022, score: [505.30765]
time: 10.595593214035034, score: [506.16794]
time: 10.69934868812561, score: [505.29697]
time: 10.773087501525879, score: [506.15982]
time: 10.851933479309082, score: [505.29312]
time: 10.924745082855225, score: [506.16034]
time: 10.996732234954834, score: [505.29617]
time: 11.067458391189575, score: [506.16382]
time: 11.129582405090332, score: [505.2986]
