user 93   scene:2
time: 0.05299878120422363, score: [236.49733]
time: 0.14625096321105957, score: [239.5778]
time: 0.21352005004882812, score: [242.62198]
time: 0.2842733860015869, score: [245.71703]
time: 0.36357569694519043, score: [248.80109]
time: 0.4480469226837158, score: [251.85713]
time: 0.5198953151702881, score: [254.91925]
time: 0.582388162612915, score: [257.9781]
time: 0.6467814445495605, score: [261.01862]
time: 0.7357349395751953, score: [264.04614]
time: 0.819537878036499, score: [267.06424]
time: 0.9147763252258301, score: [270.0749]
time: 0.9799509048461914, score: [273.07965]
time: 1.0390393733978271, score: [276.07935]
time: 1.124528169631958, score: [279.07358]
time: 1.1811482906341553, score: [282.0639]
time: 1.233875036239624, score: [285.05118]
time: 1.2882342338562012, score: [288.03293]
time: 1.3309154510498047, score: [291.00925]
time: 1.3993487358093262, score: [293.98047]
time: 1.4417171478271484, score: [296.94684]
time: 1.497014045715332, score: [299.9089]
time: 1.5438289642333984, score: [302.86716]
time: 1.6012320518493652, score: [305.82205]
time: 1.656196117401123, score: [308.77405]
time: 1.7156028747558594, score: [311.72357]
time: 1.7728171348571777, score: [314.67093]
time: 1.8198785781860352, score: [317.6165]
time: 1.859832763671875, score: [320.56052]
time: 1.9102301597595215, score: [323.50323]
time: 1.9598495960235596, score: [326.4448]
time: 2.0183048248291016, score: [329.38544]
time: 2.068666934967041, score: [332.3253]
time: 2.1193456649780273, score: [333.87787]
time: 2.162555694580078, score: [333.9013]
time: 2.2053310871124268, score: [333.88702]
time: 2.24572491645813, score: [333.87274]
time: 2.2857179641723633, score: [333.8584]
time: 2.32674503326416, score: [333.84412]
time: 2.3729429244995117, score: [333.82983]
time: 2.4077539443969727, score: [333.81555]
time: 2.453700304031372, score: [333.80127]
time: 2.5075674057006836, score: [333.787]
time: 2.550795555114746, score: [333.7727]
time: 2.585369110107422, score: [333.7584]
time: 2.6225359439849854, score: [333.74408]
time: 2.6663172245025635, score: [333.7298]
time: 2.7069568634033203, score: [333.7155]
time: 2.749150276184082, score: [333.70123]
time: 2.788900375366211, score: [333.68695]
time: 2.8361597061157227, score: [333.67264]
time: 2.887523651123047, score: [333.65836]
time: 2.9377267360687256, score: [333.64404]
time: 2.978034734725952, score: [333.63577]
time: 3.0223147869110107, score: [333.63858]
time: 3.0803258419036865, score: [333.64142]
time: 3.1215407848358154, score: [333.64423]
time: 3.1600964069366455, score: [333.64703]
time: 3.204610824584961, score: [333.64984]
time: 3.245023488998413, score: [333.65265]
time: 3.2782142162323, score: [333.65546]
time: 3.317317008972168, score: [333.65826]
time: 3.37253475189209, score: [333.66107]
time: 3.417591094970703, score: [333.6639]
time: 3.4579455852508545, score: [333.66675]
time: 3.492739200592041, score: [333.66953]
time: 3.5330419540405273, score: [333.67236]
