user 44   scene:3
time: 0.008241891860961914, score: [268.65518]
time: 0.02933645248413086, score: [275.89798]
time: 0.04327130317687988, score: [283.1867]
time: 0.05634474754333496, score: [290.55597]
time: 0.06988930702209473, score: [297.93448]
time: 0.08339333534240723, score: [305.31964]
time: 0.09739136695861816, score: [312.71457]
time: 0.1105198860168457, score: [320.1168]
time: 0.12668204307556152, score: [327.63092]
time: 0.140486478805542, score: [335.20877]
time: 0.15496468544006348, score: [342.79733]
time: 0.17006349563598633, score: [350.39246]
time: 0.1866445541381836, score: [358.04126]
time: 0.20229721069335938, score: [365.85986]
time: 0.21611928939819336, score: [373.69208]
time: 0.23021435737609863, score: [381.52386]
time: 0.24444079399108887, score: [389.35995]
time: 0.25868844985961914, score: [397.19656]
time: 0.2743532657623291, score: [404.90152]
time: 0.29284024238586426, score: [412.3979]
time: 0.31208133697509766, score: [419.67755]
time: 0.33069372177124023, score: [426.91617]
time: 0.3480184078216553, score: [431.79343]
time: 0.36612606048583984, score: [434.1962]
time: 0.38460779190063477, score: [436.4963]
time: 0.4034912586212158, score: [439.2126]
time: 0.42137885093688965, score: [444.11374]
time: 0.4399421215057373, score: [449.45477]
time: 0.45843935012817383, score: [454.7993]
time: 0.4762904644012451, score: [460.14362]
time: 0.4938466548919678, score: [465.48877]
time: 0.5120751857757568, score: [472.7512]
time: 0.5292572975158691, score: [480.03494]
time: 0.54636549949646, score: [483.9697]
time: 0.5642285346984863, score: [486.64197]
time: 0.5818650722503662, score: [489.39932]
time: 0.5997951030731201, score: [492.1544]
time: 0.6185495853424072, score: [494.62888]
time: 0.6365551948547363, score: [496.5803]
time: 0.6523380279541016, score: [497.5738]
time: 0.6692633628845215, score: [497.06256]
time: 0.6856813430786133, score: [496.22446]
time: 0.7020714282989502, score: [497.17462]
time: 0.7193834781646729, score: [496.7073]
time: 0.7389414310455322, score: [497.5125]
time: 0.7570829391479492, score: [498.27692]
time: 0.7758352756500244, score: [497.55054]
time: 0.7945652008056641, score: [498.38452]
time: 0.8110935688018799, score: [497.47842]
time: 0.8288965225219727, score: [498.231]
time: 0.8461222648620605, score: [497.35483]
time: 0.8631603717803955, score: [498.23184]
time: 0.8783552646636963, score: [497.39255]
time: 0.8948044776916504, score: [498.27457]
time: 0.9110209941864014, score: [497.42056]
time: 0.9279859066009521, score: [498.28793]
time: 0.9430093765258789, score: [497.41714]
time: 0.9585278034210205, score: [498.27554]
time: 0.9742991924285889, score: [497.40408]
time: 0.9915847778320312, score: [498.2672]
time: 1.008927822113037, score: [497.40128]
time: 1.025153398513794, score: [498.26913]
time: 1.0413527488708496, score: [497.4055]
time: 1.0577235221862793, score: [498.27322]
time: 1.071946620941162, score: [497.4079]
time: 1.0871944427490234, score: [498.27377]
time: 1.1014626026153564, score: [497.40704]
time: 1.116511583328247, score: [498.27234]
time: 1.130866289138794, score: [497.40576]
