user 64   scene:2
time: 2.8742921352386475, score: [234.6163]
time: 6.7234227657318115, score: [235.60754]
time: 10.63022255897522, score: [236.59976]
time: 14.794775009155273, score: [237.592]
time: 18.970298051834106, score: [238.5967]
time: 23.36081075668335, score: [239.60252]
time: 27.816191911697388, score: [240.60854]
time: 32.42862939834595, score: [241.62965]
time: 37.33709907531738, score: [242.66197]
time: 42.39039897918701, score: [243.69917]
time: 47.34906625747681, score: [244.74158]
time: 52.51811671257019, score: [245.78452]
time: 57.8853805065155, score: [246.82758]
time: 63.24154710769653, score: [247.87068]
time: 68.9597659111023, score: [248.91452]
time: 80.61255288124084, score: [249.95866]
time: 93.58523106575012, score: [251.02177]
time: 106.6226134300232, score: [252.08559]
time: 120.7480742931366, score: [253.14964]
time: 134.16956877708435, score: [254.21364]
time: 147.3407289981842, score: [255.2777]
time: 161.5346336364746, score: [256.34174]
time: 174.7229709625244, score: [257.4058]
time: 186.4454960823059, score: [258.46985]
