user 66   scene:3
time: 0.03628182411193848, score: [268.65536]
time: 0.2768874168395996, score: [275.89816]
time: 0.49232006072998047, score: [283.18686]
time: 0.7319507598876953, score: [290.55615]
time: 0.9940805435180664, score: [297.93466]
time: 1.2193968296051025, score: [305.31982]
time: 1.4204075336456299, score: [312.71475]
time: 1.6332612037658691, score: [320.11697]
time: 1.8264281749725342, score: [327.63107]
time: 2.017852306365967, score: [335.20895]
time: 2.20448637008667, score: [342.79752]
time: 2.4019229412078857, score: [350.39264]
time: 2.6453235149383545, score: [358.0412]
time: 2.883898973464966, score: [365.8598]
time: 3.1024107933044434, score: [373.69202]
time: 3.3393237590789795, score: [381.52383]
time: 3.5478224754333496, score: [389.3599]
time: 3.7592408657073975, score: [397.19656]
time: 4.006450176239014, score: [405.03302]
time: 4.1987409591674805, score: [412.84235]
time: 4.395504951477051, score: [420.3477]
time: 4.585319519042969, score: [427.62637]
time: 4.756853342056274, score: [434.52536]
time: 4.9492974281311035, score: [439.37827]
time: 5.101629018783569, score: [441.62424]
time: 5.2743566036224365, score: [443.8506]
time: 5.43491268157959, score: [446.14413]
time: 5.585599899291992, score: [450.9517]
time: 5.739751815795898, score: [456.04367]
time: 5.921233654022217, score: [461.38843]
time: 6.095465660095215, score: [466.73386]
time: 6.27405858039856, score: [472.07974]
time: 6.410111665725708, score: [479.35425]
time: 6.549347400665283, score: [483.29147]
time: 6.69312858581543, score: [485.56564]
time: 6.848545789718628, score: [488.25607]
time: 7.000655174255371, score: [491.06757]
time: 7.133554458618164, score: [493.75797]
time: 7.247216701507568, score: [496.31943]
time: 7.360135793685913, score: [497.5838]
time: 7.498337984085083, score: [498.56693]
time: 7.605117321014404, score: [499.56097]
time: 7.723545074462891, score: [500.55405]
time: 7.835724830627441, score: [500.2316]
time: 7.943243026733398, score: [499.64142]
time: 8.042560815811157, score: [500.4071]
time: 8.139143228530884, score: [501.02292]
time: 8.23364520072937, score: [500.18576]
time: 8.306451320648193, score: [500.99356]
time: 8.397874593734741, score: [501.8804]
time: 8.482495069503784, score: [500.97876]
time: 8.58000373840332, score: [501.5328]
time: 8.666995286941528, score: [500.68967]
time: 8.74265432357788, score: [501.58063]
time: 8.802991390228271, score: [500.75238]
time: 8.875110387802124, score: [501.6295]
time: 8.953183889389038, score: [500.76273]
time: 9.018029928207397, score: [501.61942]
time: 9.08613920211792, score: [500.74387]
time: 9.15100383758545, score: [501.60147]
time: 9.212229251861572, score: [500.73242]
time: 9.272511720657349, score: [501.5994]
time: 9.33896517753601, score: [500.7366]
time: 9.406391859054565, score: [501.6059]
time: 9.46319580078125, score: [500.74213]
time: 9.53228211402893, score: [501.60892]
time: 9.585337162017822, score: [500.74234]
time: 9.638301372528076, score: [501.6073]
time: 9.696688890457153, score: [500.74026]
time: 9.752885103225708, score: [501.60556]
time: 9.811578750610352, score: [500.7394]
time: 9.863260507583618, score: [501.60568]
