user 32   scene:2
time: 0.021181106567382812, score: [236.5199]
time: 0.05879521369934082, score: [239.58858]
time: 0.08385968208312988, score: [242.6342]
time: 0.10814213752746582, score: [245.73799]
time: 0.13899517059326172, score: [248.84052]
time: 0.17059326171875, score: [251.9209]
time: 0.20008325576782227, score: [255.02544]
time: 0.23041534423828125, score: [258.11124]
time: 0.25604677200317383, score: [261.17465]
time: 0.2886943817138672, score: [264.22092]
time: 0.31863927841186523, score: [267.25443]
time: 0.3511240482330322, score: [270.27832]
time: 0.38391900062561035, score: [273.29547]
time: 0.4258716106414795, score: [276.30667]
time: 0.46350955963134766, score: [279.31256]
time: 0.5015509128570557, score: [282.31357]
time: 0.5365781784057617, score: [285.30994]
time: 0.5740540027618408, score: [288.30176]
time: 0.6057860851287842, score: [291.289]
time: 0.6312718391418457, score: [294.2718]
time: 0.6631367206573486, score: [297.24997]
time: 0.6889398097991943, score: [300.2237]
time: 0.7114028930664062, score: [303.19315]
time: 0.7394325733184814, score: [306.1587]
time: 0.7671501636505127, score: [309.12457]
time: 0.7868666648864746, score: [312.08685]
time: 0.82413649559021, score: [315.04596]
time: 0.8560092449188232, score: [318.00214]
time: 0.882692813873291, score: [320.9558]
time: 0.9139494895935059, score: [323.9072]
time: 0.9396181106567383, score: [326.85663]
time: 0.9617834091186523, score: [329.80432]
time: 0.9911291599273682, score: [332.75052]
time: 1.0211055278778076, score: [334.28033]
time: 1.055734634399414, score: [334.27402]
time: 1.0831022262573242, score: [334.2677]
time: 1.1101369857788086, score: [334.26138]
time: 1.1373512744903564, score: [334.25507]
time: 1.1680688858032227, score: [334.24875]
time: 1.2006850242614746, score: [334.24243]
time: 1.2257263660430908, score: [334.23615]
time: 1.2541062831878662, score: [334.22983]
time: 1.2819437980651855, score: [334.2235]
time: 1.3160765171051025, score: [334.21716]
time: 1.3439278602600098, score: [334.21088]
time: 1.3705313205718994, score: [334.20453]
time: 1.4012253284454346, score: [334.19824]
time: 1.431487798690796, score: [334.1919]
time: 1.4608304500579834, score: [334.1856]
time: 1.492499828338623, score: [334.1793]
time: 1.5263259410858154, score: [334.17297]
time: 1.5624339580535889, score: [334.16666]
time: 1.6014704704284668, score: [334.16034]
time: 1.637275218963623, score: [334.15402]
time: 1.671020269393921, score: [334.1477]
time: 1.7365233898162842, score: [334.14142]
time: 1.8206701278686523, score: [334.1351]
time: 1.899524211883545, score: [334.12878]
time: 1.9654946327209473, score: [334.12244]
time: 2.004697322845459, score: [334.11615]
time: 2.051098585128784, score: [334.10983]
time: 2.113394021987915, score: [334.10352]
time: 2.1786584854125977, score: [334.0972]
time: 2.243082046508789, score: [334.09088]
time: 2.305701494216919, score: [334.0846]
time: 2.369871139526367, score: [334.07825]
time: 2.4422411918640137, score: [334.08484]
time: 2.5132858753204346, score: [334.09473]
time: 2.5694050788879395, score: [334.10458]
time: 2.6418676376342773, score: [334.11447]
