user 74   scene:2
time: 0.010912418365478516, score: [236.48012]
time: 0.04017281532287598, score: [239.56761]
time: 0.06026148796081543, score: [242.60997]
time: 0.08250617980957031, score: [245.69566]
time: 0.10495901107788086, score: [248.76234]
time: 0.1277930736541748, score: [251.79994]
time: 0.14967131614685059, score: [254.8273]
time: 0.17221403121948242, score: [257.86948]
time: 0.19517278671264648, score: [260.89694]
time: 0.21866512298583984, score: [263.914]
time: 0.24186396598815918, score: [266.92462]
time: 0.2649059295654297, score: [269.93005]
time: 0.2889552116394043, score: [272.92947]
time: 0.3127419948577881, score: [275.92355]
time: 0.3362250328063965, score: [278.91144]
time: 0.3591585159301758, score: [281.89304]
time: 0.37660789489746094, score: [284.86853]
time: 0.3993809223175049, score: [287.83826]
time: 0.42170047760009766, score: [290.80276]
time: 0.4438743591308594, score: [293.76263]
time: 0.4611954689025879, score: [296.71844]
time: 0.4836857318878174, score: [299.67093]
time: 0.5058035850524902, score: [302.6205]
time: 0.5284147262573242, score: [305.56766]
time: 0.5513217449188232, score: [308.5128]
time: 0.5734431743621826, score: [311.45627]
time: 0.5966167449951172, score: [314.39832]
time: 0.6193900108337402, score: [317.33923]
time: 0.642326831817627, score: [320.27924]
time: 0.6654863357543945, score: [323.21838]
time: 0.6880640983581543, score: [326.1569]
time: 0.7106285095214844, score: [329.09488]
time: 0.7326769828796387, score: [332.03247]
time: 0.7549788951873779, score: [333.57916]
time: 0.777179479598999, score: [333.6457]
time: 0.7982027530670166, score: [333.62762]
time: 0.819957971572876, score: [333.60956]
time: 0.8419301509857178, score: [333.5915]
time: 0.8636395931243896, score: [333.57343]
time: 0.8854238986968994, score: [333.55536]
time: 0.9075653553009033, score: [333.5373]
time: 0.9297506809234619, score: [333.51923]
time: 0.9524562358856201, score: [333.5012]
time: 0.9750006198883057, score: [333.4831]
time: 0.9966847896575928, score: [333.46506]
time: 1.0190682411193848, score: [333.447]
time: 1.0417933464050293, score: [333.4462]
time: 1.0654215812683105, score: [333.44574]
time: 1.0903003215789795, score: [333.44525]
time: 1.1131250858306885, score: [333.44482]
time: 1.1360461711883545, score: [333.44434]
time: 1.1595239639282227, score: [333.4439]
time: 1.1830074787139893, score: [333.44345]
time: 1.206343173980713, score: [333.443]
time: 1.2291901111602783, score: [333.44257]
time: 1.2515101432800293, score: [333.44208]
time: 1.2734651565551758, score: [333.44165]
time: 1.2955052852630615, score: [333.4412]
time: 1.318448543548584, score: [333.44073]
time: 1.3409903049468994, score: [333.44028]
time: 1.3630926609039307, score: [333.43982]
time: 1.386019229888916, score: [333.43936]
time: 1.408919334411621, score: [333.4389]
