user 34   scene:2
time: 0.06791472434997559, score: [236.48155]
time: 0.26973676681518555, score: [239.56857]
time: 0.4260685443878174, score: [242.61183]
time: 0.6124262809753418, score: [245.70235]
time: 0.8128983974456787, score: [248.77747]
time: 1.0014395713806152, score: [251.82373]
time: 1.1800172328948975, score: [254.86375]
time: 1.3924777507781982, score: [257.91367]
time: 1.581491470336914, score: [260.94714]
time: 1.7620666027069092, score: [263.96906]
time: 1.946589469909668, score: [266.9824]
time: 2.1233866214752197, score: [269.98874]
time: 2.3174264430999756, score: [272.99066]
time: 2.51914644241333, score: [275.9895]
time: 2.739158868789673, score: [278.98257]
time: 2.9253053665161133, score: [281.96973]
time: 3.1260457038879395, score: [284.95102]
time: 3.3440299034118652, score: [287.92654]
time: 3.5801846981048584, score: [290.89667]
time: 3.829277992248535, score: [293.8618]
time: 4.046087741851807, score: [296.82248]
time: 4.244302988052368, score: [299.7793]
time: 4.490068197250366, score: [302.7328]
time: 4.727670669555664, score: [305.68338]
time: 4.963228702545166, score: [308.6316]
time: 5.192753314971924, score: [311.57776]
time: 5.4681501388549805, score: [314.52216]
time: 5.730466365814209, score: [317.46515]
time: 6.004814624786377, score: [320.4069]
time: 6.254892110824585, score: [323.34766]
time: 6.498550176620483, score: [326.28757]
time: 6.747909784317017, score: [329.22675]
time: 6.977862119674683, score: [332.16537]
time: 7.261466026306152, score: [333.71622]
time: 7.529130697250366, score: [333.76108]
time: 7.758545398712158, score: [333.74463]
time: 8.015659809112549, score: [333.72812]
time: 8.25180959701538, score: [333.71164]
time: 8.481895446777344, score: [333.6952]
time: 8.697307348251343, score: [333.6787]
time: 8.900834083557129, score: [333.66223]
time: 9.108901977539062, score: [333.64575]
time: 9.484074115753174, score: [333.62927]
time: 9.630695104598999, score: [333.6128]
time: 9.768367052078247, score: [333.5963]
time: 9.942446947097778, score: [333.57986]
time: 10.069103002548218, score: [333.5634]
time: 10.216237545013428, score: [333.54694]
time: 10.365889072418213, score: [333.53043]
time: 10.505729913711548, score: [333.52582]
time: 10.669729471206665, score: [333.5267]
time: 10.788399934768677, score: [333.5276]
time: 10.906433343887329, score: [333.52853]
time: 11.053102970123291, score: [333.52948]
time: 11.191100358963013, score: [333.53033]
time: 11.30338168144226, score: [333.53125]
time: 11.413832187652588, score: [333.53217]
time: 11.576333284378052, score: [333.53308]
time: 11.71498990058899, score: [333.534]
time: 11.830610513687134, score: [333.5349]
time: 11.951887369155884, score: [333.53583]
time: 12.074068784713745, score: [333.53674]
time: 12.198692083358765, score: [333.53766]
time: 12.322423696517944, score: [333.53857]
time: 12.421366214752197, score: [333.53946]
