user 17   scene:3
time: 0.009530782699584961, score: [268.65552]
time: 0.03958582878112793, score: [275.89835]
time: 0.0578312873840332, score: [283.18704]
time: 0.07633113861083984, score: [290.55634]
time: 0.09498214721679688, score: [297.93484]
time: 0.11242842674255371, score: [305.32]
time: 0.13133883476257324, score: [312.71494]
time: 0.148545503616333, score: [320.11716]
time: 0.16523146629333496, score: [327.63126]
time: 0.18331432342529297, score: [335.20914]
time: 0.20086336135864258, score: [342.7977]
time: 0.21819519996643066, score: [350.39282]
time: 0.2356417179107666, score: [358.0411]
time: 0.2530796527862549, score: [365.8597]
time: 0.27022361755371094, score: [373.692]
time: 0.28605198860168457, score: [381.52368]
time: 0.3027923107147217, score: [389.35983]
time: 0.3183310031890869, score: [397.19647]
time: 0.33286499977111816, score: [405.033]
time: 0.34949183464050293, score: [412.86755]
time: 0.3650686740875244, score: [420.69998]
time: 0.3827018737792969, score: [428.2806]
time: 0.3985636234283447, score: [435.55957]
time: 0.41310930252075195, score: [442.79108]
time: 0.42737889289855957, score: [447.6522]
time: 0.44433021545410156, score: [449.89017]
time: 0.46239566802978516, score: [452.10934]
time: 0.47870612144470215, score: [454.38028]
time: 0.4963865280151367, score: [459.1704]
time: 0.5099656581878662, score: [464.23038]
time: 0.5239734649658203, score: [469.57587]
time: 0.5376052856445312, score: [474.92148]
time: 0.5516064167022705, score: [480.2712]
time: 0.5669493675231934, score: [484.21265]
time: 0.5834312438964844, score: [486.48663]
time: 0.6027143001556396, score: [489.1345]
time: 0.6190783977508545, score: [491.8947]
time: 0.634394645690918, score: [494.58957]
time: 0.6487257480621338, score: [497.2432]
time: 0.6648552417755127, score: [498.55304]
time: 0.6788716316223145, score: [499.47803]
time: 0.6941013336181641, score: [500.42075]
time: 0.7100245952606201, score: [501.41492]
time: 0.725022554397583, score: [502.40912]
time: 0.7399098873138428, score: [503.28647]
time: 0.754826545715332, score: [504.04666]
time: 0.7688696384429932, score: [504.80338]
time: 0.7839400768280029, score: [503.7197]
time: 0.7992777824401855, score: [504.45352]
time: 0.8150370121002197, score: [503.66733]
time: 0.8299851417541504, score: [504.47513]
time: 0.8449580669403076, score: [505.30362]
time: 0.8601417541503906, score: [504.73196]
time: 0.874401330947876, score: [505.3103]
time: 0.8895618915557861, score: [504.41776]
time: 0.9042599201202393, score: [505.24008]
time: 0.9195041656494141, score: [504.36182]
time: 0.9347648620605469, score: [505.22824]
time: 0.9495980739593506, score: [504.37213]
time: 0.9648110866546631, score: [505.24847]
time: 0.9801087379455566, score: [504.39175]
time: 0.9954276084899902, score: [505.26114]
time: 1.0102894306182861, score: [504.39423]
time: 1.0255377292633057, score: [505.2568]
time: 1.040841817855835, score: [504.38724]
time: 1.0556421279907227, score: [505.25076]
time: 1.0706839561462402, score: [504.38388]
time: 1.0838286876678467, score: [505.2504]
time: 1.0959947109222412, score: [504.3856]
time: 1.1102795600891113, score: [505.25275]
time: 1.1241402626037598, score: [504.38745]
time: 1.1380021572113037, score: [505.25363]
time: 1.1526610851287842, score: [504.38736]
time: 1.1671786308288574, score: [505.253]
