user 41   scene:1
time: 0.06291913986206055, score: [210.21799]
time: 0.19890403747558594, score: [213.88263]
time: 0.3020138740539551, score: [217.31671]
time: 0.4145352840423584, score: [220.7508]
time: 0.5275735855102539, score: [224.18488]
time: 0.6440949440002441, score: [227.6589]
time: 0.7675340175628662, score: [231.15063]
time: 0.8845007419586182, score: [234.64536]
time: 1.0196254253387451, score: [238.14151]
time: 1.164353847503662, score: [241.6419]
time: 1.2984609603881836, score: [245.1435]
time: 1.444066047668457, score: [248.64658]
time: 1.5232868194580078, score: [252.15118]
time: 1.6839137077331543, score: [255.65665]
time: 1.8464391231536865, score: [259.16306]
time: 1.9881885051727295, score: [262.67032]
time: 2.151825189590454, score: [266.178]
time: 2.314913749694824, score: [269.6857]
time: 2.4660542011260986, score: [273.19336]
time: 2.620358467102051, score: [276.70105]
time: 2.784130096435547, score: [280.20877]
time: 2.935671329498291, score: [283.7164]
time: 3.08730411529541, score: [287.22412]
time: 3.266206741333008, score: [290.73178]
time: 3.440260648727417, score: [294.23947]
time: 3.614809989929199, score: [297.74716]
time: 3.7848873138427734, score: [301.25485]
time: 3.9510178565979004, score: [304.76254]
time: 4.121939420700073, score: [308.27023]
time: 4.277672290802002, score: [311.7779]
time: 4.46375298500061, score: [315.2856]
time: 4.6636340618133545, score: [318.7933]
time: 4.851832866668701, score: [322.301]
time: 5.032349109649658, score: [323.47638]
time: 5.243055105209351, score: [323.47638]
time: 5.426332473754883, score: [323.47638]
time: 5.6079747676849365, score: [323.47638]
time: 5.787095785140991, score: [323.47638]
time: 5.965188980102539, score: [323.47638]
time: 6.15447998046875, score: [323.47638]
time: 6.355680465698242, score: [323.47638]
time: 6.575347900390625, score: [323.47638]
time: 6.767558574676514, score: [323.47638]
time: 6.980028867721558, score: [323.47638]
time: 7.196692943572998, score: [323.47638]
time: 7.418150901794434, score: [323.47638]
time: 7.661061525344849, score: [323.47638]
time: 7.868257522583008, score: [323.47638]
time: 8.062911987304688, score: [323.47638]
time: 8.31108283996582, score: [323.47638]
time: 8.531089305877686, score: [323.47638]
time: 8.73681640625, score: [323.47638]
time: 8.988290071487427, score: [323.47638]
time: 9.251444816589355, score: [323.47638]
