user 22   scene:1
time: 0.5434889793395996, score: [208.17691]
time: 1.3135831356048584, score: [209.31503]
time: 2.1368227005004883, score: [210.45486]
time: 2.9888226985931396, score: [211.59933]
time: 3.8567473888397217, score: [212.74402]
time: 4.847533226013184, score: [213.8887]
time: 5.7947609424591064, score: [215.03342]
time: 6.803266525268555, score: [216.1781]
time: 7.862162113189697, score: [217.32281]
time: 8.945167303085327, score: [218.4675]
time: 10.057061433792114, score: [219.61218]
time: 11.205860137939453, score: [220.7569]
time: 12.418910026550293, score: [221.90158]
time: 13.697914838790894, score: [223.04626]
time: 14.977134704589844, score: [224.19095]
time: 16.336425065994263, score: [225.34436]
time: 17.69448232650757, score: [226.50372]
time: 19.057680130004883, score: [227.66489]
time: 20.52316689491272, score: [228.8273]
time: 22.065744400024414, score: [229.99179]
time: 23.638911247253418, score: [231.15671]
time: 25.241819381713867, score: [232.3216]
time: 26.914296627044678, score: [233.48651]
time: 28.617685556411743, score: [234.6514]
time: 30.35618782043457, score: [235.81631]
time: 32.16546392440796, score: [236.9812]
time: 33.95263934135437, score: [238.14767]
time: 35.73372745513916, score: [239.31448]
time: 37.78139615058899, score: [240.4813]
time: 39.763118505477905, score: [241.64807]
time: 41.723323822021484, score: [242.81491]
time: 43.75308394432068, score: [243.98227]
time: 45.797889947891235, score: [245.14969]
time: 47.92440056800842, score: [246.31714]
time: 50.02202129364014, score: [247.48495]
time: 52.13035321235657, score: [248.65277]
time: 54.33315968513489, score: [249.82074]
time: 56.593870639801025, score: [250.98904]
time: 59.12937068939209, score: [252.15735]
time: 61.497217655181885, score: [253.32565]
time: 63.81785273551941, score: [254.49417]
time: 66.30218982696533, score: [255.66281]
time: 68.80632138252258, score: [256.83157]
time: 71.33630132675171, score: [258.0004]
time: 73.89294099807739, score: [259.16925]
time: 76.73659920692444, score: [260.33813]
time: 79.49421286582947, score: [261.5073]
time: 82.13617491722107, score: [262.67648]
time: 84.75335502624512, score: [263.84573]
time: 87.61679410934448, score: [265.01498]
time: 90.36958599090576, score: [266.1842]
time: 93.23448204994202, score: [267.35342]
time: 96.06698203086853, score: [268.52267]
time: 98.965083360672, score: [269.6919]
time: 102.01668953895569, score: [270.8611]
time: 105.07705879211426, score: [272.03033]
time: 108.54248905181885, score: [273.19955]
time: 114.0424747467041, score: [274.3688]
time: 121.48358011245728, score: [275.53802]
time: 128.6011564731598, score: [276.70728]
time: 135.32685685157776, score: [277.8765]
time: 142.10985231399536, score: [279.04572]
time: 149.8406732082367, score: [280.21494]
time: 157.26032519340515, score: [281.38416]
time: 165.03463888168335, score: [282.5534]
time: 171.8805868625641, score: [283.72263]
time: 178.98219895362854, score: [284.89185]
time: 186.2030189037323, score: [286.06107]
time: 193.5045506954193, score: [287.23032]
time: 201.29925918579102, score: [288.3995]
time: 208.4429316520691, score: [289.56876]
time: 215.9545545578003, score: [290.738]
time: 223.2695541381836, score: [291.90723]
time: 227.125572681427, score: [293.07645]
