user 37   scene:2
time: 0.0567936897277832, score: [236.51553]
time: 0.2214353084564209, score: [239.58698]
time: 0.3263273239135742, score: [242.63258]
time: 0.4333961009979248, score: [245.73639]
time: 0.5566692352294922, score: [248.83893]
time: 0.7055461406707764, score: [251.91934]
time: 0.8234653472900391, score: [255.0239]
time: 0.9332408905029297, score: [258.10974]
time: 1.0522565841674805, score: [261.1732]
time: 1.1712276935577393, score: [264.21948]
time: 1.2888247966766357, score: [267.25296]
time: 1.4034137725830078, score: [270.2769]
time: 1.5028438568115234, score: [273.29404]
time: 1.6153054237365723, score: [276.30527]
time: 1.7137815952301025, score: [279.3112]
time: 1.8396592140197754, score: [282.3122]
time: 1.9472198486328125, score: [285.3086]
time: 2.0482521057128906, score: [288.3004]
time: 2.140104055404663, score: [291.28772]
time: 2.223463296890259, score: [294.27045]
time: 2.3280911445617676, score: [297.24866]
time: 2.421069860458374, score: [300.2224]
time: 2.5020105838775635, score: [303.1919]
time: 2.589750289916992, score: [306.15735]
time: 2.682978868484497, score: [309.1233]
time: 2.76999568939209, score: [312.08557]
time: 2.854945182800293, score: [315.04468]
time: 2.9497251510620117, score: [318.0009]
time: 3.0313782691955566, score: [320.95453]
time: 3.1165595054626465, score: [323.90598]
time: 3.1919991970062256, score: [326.85538]
time: 3.2670586109161377, score: [329.8031]
time: 3.3365914821624756, score: [332.74933]
time: 3.412409782409668, score: [334.28018]
time: 3.4892184734344482, score: [334.27386]
time: 3.5639476776123047, score: [334.26755]
time: 3.6312010288238525, score: [334.26123]
time: 3.6951255798339844, score: [334.25488]
time: 3.7582569122314453, score: [334.2486]
time: 3.8417165279388428, score: [334.24225]
time: 3.926910161972046, score: [334.23596]
time: 4.005935192108154, score: [334.22964]
time: 4.073694467544556, score: [334.22333]
time: 4.131627798080444, score: [334.21704]
time: 4.193172454833984, score: [334.2107]
time: 4.248300075531006, score: [334.20438]
time: 4.300684452056885, score: [334.1981]
time: 4.347582817077637, score: [334.19177]
time: 4.397636890411377, score: [334.18546]
time: 4.450547456741333, score: [334.17914]
time: 4.49519681930542, score: [334.17282]
time: 4.544697523117065, score: [334.1665]
time: 4.600632190704346, score: [334.1602]
time: 4.652615547180176, score: [334.15387]
time: 4.703339576721191, score: [334.14755]
time: 4.7802958488464355, score: [334.14124]
time: 4.836522340774536, score: [334.13492]
time: 4.882242679595947, score: [334.12863]
time: 4.926743268966675, score: [334.1223]
time: 4.972338914871216, score: [334.116]
time: 5.025965690612793, score: [334.10968]
time: 5.081844329833984, score: [334.10333]
time: 5.129244804382324, score: [334.09705]
time: 5.175677061080933, score: [334.09076]
time: 5.224238872528076, score: [334.0844]
time: 5.2686591148376465, score: [334.0781]
time: 5.307607889175415, score: [334.0848]
time: 5.348722219467163, score: [334.0947]
time: 5.388893365859985, score: [334.10455]
time: 5.431869983673096, score: [334.11444]
