user 59   scene:1
time: 2.3473119735717773, score: [208.17691]
time: 5.558087110519409, score: [209.31503]
time: 8.6812424659729, score: [210.45486]
time: 12.07827639579773, score: [211.59933]
time: 15.509549617767334, score: [212.74402]
time: 18.904422521591187, score: [213.8887]
time: 22.52971577644348, score: [215.03342]
time: 26.263002634048462, score: [216.1781]
time: 30.047630071640015, score: [217.32281]
time: 33.95040011405945, score: [218.4675]
time: 37.915061235427856, score: [219.61218]
time: 42.038984060287476, score: [220.7569]
time: 46.59844493865967, score: [221.90158]
time: 50.906280755996704, score: [223.04626]
time: 55.54488468170166, score: [224.19095]
time: 60.05403280258179, score: [225.34436]
time: 64.77390003204346, score: [226.50372]
time: 69.61997842788696, score: [227.66489]
time: 74.93577241897583, score: [228.8273]
time: 84.55368661880493, score: [229.99179]
time: 96.38587594032288, score: [231.15671]
time: 107.65506911277771, score: [232.3216]
time: 119.38596796989441, score: [233.48651]
time: 131.73786115646362, score: [234.6514]
time: 143.0362467765808, score: [235.81631]
time: 154.79018664360046, score: [236.9812]
time: 167.28290605545044, score: [238.14767]
time: 178.75076913833618, score: [239.31448]
time: 190.90100741386414, score: [240.4813]
