user 27   scene:2
time: 0.05618739128112793, score: [236.51555]
time: 0.23900079727172852, score: [239.58699]
time: 0.34953880310058594, score: [242.63258]
time: 0.45912647247314453, score: [245.73639]
time: 0.5886473655700684, score: [248.83893]
time: 0.7257120609283447, score: [251.91934]
time: 0.8461582660675049, score: [255.0239]
time: 0.9593639373779297, score: [258.10974]
time: 1.0709843635559082, score: [261.1732]
time: 1.18137526512146, score: [264.21948]
time: 1.312159538269043, score: [267.253]
time: 1.4311761856079102, score: [270.2769]
time: 1.5257306098937988, score: [273.29404]
time: 1.6526057720184326, score: [276.30527]
time: 1.7412354946136475, score: [279.3112]
time: 1.869769811630249, score: [282.3122]
time: 1.9677329063415527, score: [285.3086]
time: 2.064983367919922, score: [288.3004]
time: 2.156371831893921, score: [291.28772]
time: 2.243757724761963, score: [294.27045]
time: 2.3498752117156982, score: [297.24866]
time: 2.4402878284454346, score: [300.2224]
time: 2.527620315551758, score: [303.1919]
time: 2.6292078495025635, score: [306.15735]
time: 2.7290029525756836, score: [309.1233]
time: 2.823054790496826, score: [312.08557]
time: 2.9077000617980957, score: [315.04468]
time: 2.9959800243377686, score: [318.0009]
time: 3.0799930095672607, score: [320.95453]
time: 3.156348943710327, score: [323.90598]
time: 3.2414777278900146, score: [326.85538]
time: 3.310821533203125, score: [329.8031]
time: 3.3753299713134766, score: [332.74933]
time: 3.447286367416382, score: [334.28018]
time: 3.5203945636749268, score: [334.27386]
time: 3.601651430130005, score: [334.26755]
time: 3.6674158573150635, score: [334.26123]
time: 3.7233622074127197, score: [334.25488]
time: 3.803391695022583, score: [334.2486]
time: 3.8713276386260986, score: [334.24228]
time: 3.9507076740264893, score: [334.23596]
time: 4.022136211395264, score: [334.22964]
time: 4.0929036140441895, score: [334.22333]
time: 4.175420045852661, score: [334.21704]
time: 4.24168848991394, score: [334.2107]
time: 4.292814016342163, score: [334.20438]
time: 4.342944145202637, score: [334.1981]
time: 4.389739990234375, score: [334.19177]
time: 4.434656858444214, score: [334.18546]
time: 4.491987943649292, score: [334.17914]
time: 4.535816431045532, score: [334.17282]
time: 4.586556673049927, score: [334.1665]
time: 4.629061460494995, score: [334.1602]
time: 4.67346453666687, score: [334.15387]
time: 4.731562614440918, score: [334.14755]
time: 4.797417402267456, score: [334.14127]
time: 4.862268924713135, score: [334.13492]
time: 4.904505491256714, score: [334.12863]
time: 4.946009635925293, score: [334.1223]
time: 4.986592054367065, score: [334.116]
time: 5.036311388015747, score: [334.10968]
time: 5.0844385623931885, score: [334.10333]
time: 5.133176565170288, score: [334.09705]
time: 5.17798113822937, score: [334.09076]
time: 5.228672742843628, score: [334.0844]
time: 5.273541212081909, score: [334.0781]
time: 5.314565420150757, score: [334.0848]
time: 5.358741044998169, score: [334.0947]
time: 5.4027416706085205, score: [334.10455]
time: 5.452078580856323, score: [334.11444]
