user 50   scene:2
time: 0.06583452224731445, score: [236.4993]
time: 0.22580385208129883, score: [239.579]
time: 0.37073469161987305, score: [242.62355]
time: 0.5323452949523926, score: [245.72083]
time: 0.6877880096435547, score: [248.80956]
time: 0.8403654098510742, score: [251.87106]
time: 0.9887502193450928, score: [254.94237]
time: 1.1805312633514404, score: [258.00687]
time: 1.323693037033081, score: [261.05188]
time: 1.4800012111663818, score: [264.0831]
time: 1.6446688175201416, score: [267.10425]
time: 1.8018596172332764, score: [270.11758]
time: 1.9581708908081055, score: [273.12497]
time: 2.1378045082092285, score: [276.12717]
time: 2.2906076908111572, score: [279.1241]
time: 2.464564323425293, score: [282.1158]
time: 2.6375021934509277, score: [285.10233]
time: 2.8012866973876953, score: [288.08667]
time: 2.9788732528686523, score: [291.06665]
time: 3.1418771743774414, score: [294.04153]
time: 3.323350667953491, score: [297.0115]
time: 3.512723922729492, score: [299.977]
time: 3.704024314880371, score: [302.9384]
time: 3.884673595428467, score: [305.8962]
time: 4.083486318588257, score: [308.85086]
time: 4.29105544090271, score: [311.80276]
time: 4.481844902038574, score: [314.7523]
time: 4.6580023765563965, score: [317.69977]
time: 4.831827640533447, score: [320.6455]
time: 5.029560804367065, score: [323.58972]
time: 5.22173547744751, score: [326.53265]
time: 5.421043634414673, score: [329.47452]
time: 5.625389575958252, score: [332.41544]
time: 5.827079772949219, score: [333.9673]
time: 6.02264142036438, score: [333.9803]
time: 6.248498201370239, score: [333.9674]
time: 6.4858386516571045, score: [333.95453]
time: 6.699272394180298, score: [333.94165]
time: 6.907968521118164, score: [333.9288]
time: 7.11210823059082, score: [333.91595]
time: 7.346358776092529, score: [333.90308]
time: 7.58959436416626, score: [333.8902]
time: 7.8503828048706055, score: [333.87732]
time: 8.08694314956665, score: [333.86444]
time: 8.359726428985596, score: [333.85156]
time: 8.64052128791809, score: [333.8387]
time: 8.8894522190094, score: [333.8258]
time: 9.121008396148682, score: [333.81296]
time: 9.38944935798645, score: [333.8001]
time: 9.609655857086182, score: [333.78723]
time: 9.852983236312866, score: [333.77435]
time: 10.132294178009033, score: [333.7615]
time: 10.345609664916992, score: [333.7486]
time: 10.580522537231445, score: [333.73575]
time: 10.676247358322144, score: [333.72287]
time: 10.90772557258606, score: [333.71002]
time: 11.131714820861816, score: [333.71194]
time: 11.343048334121704, score: [333.71594]
time: 11.569153547286987, score: [333.72003]
time: 11.756911516189575, score: [333.72406]
time: 11.990630865097046, score: [333.72815]
time: 12.325230836868286, score: [333.7322]
time: 12.474372148513794, score: [333.73627]
time: 12.603231430053711, score: [333.74036]
time: 12.678671836853027, score: [333.7444]
time: 12.813178300857544, score: [333.74844]
time: 12.947209119796753, score: [333.7525]
time: 13.091125965118408, score: [333.75656]
