user 53   scene:3
time: 3.1018941402435303, score: [263.8268]
time: 6.915819406509399, score: [266.24023]
time: 10.815397262573242, score: [268.65366]
time: 15.191763877868652, score: [271.06708]
time: 19.596202850341797, score: [273.48172]
time: 24.118810892105103, score: [275.89645]
time: 28.786579847335815, score: [278.3112]
time: 33.80828905105591, score: [280.7325]
time: 38.711384296417236, score: [283.18488]
time: 43.928282260894775, score: [285.63724]
time: 49.34889483451843, score: [288.09454]
time: 55.2608208656311, score: [290.5542]
time: 61.0132999420166, score: [293.01376]
time: 67.08696603775024, score: [295.47342]
time: 73.35082960128784, score: [297.933]
time: 79.62280988693237, score: [300.39352]
time: 88.7448000907898, score: [302.85544]
time: 104.62310528755188, score: [305.31863]
time: 119.28354454040527, score: [307.78357]
time: 135.76914072036743, score: [310.24854]
time: 150.83847641944885, score: [312.71445]
time: 166.29053258895874, score: [315.18076]
time: 181.8478798866272, score: [317.64792]
time: 196.87070107460022, score: [320.11783]
time: 202.54015374183655, score: [322.59286]
