user 36   scene:2
time: 0.7646298408508301, score: [234.6163]
time: 1.8234751224517822, score: [235.60754]
time: 2.8917713165283203, score: [236.59976]
time: 3.969806432723999, score: [237.592]
time: 5.125824928283691, score: [238.5967]
time: 6.306412696838379, score: [239.60252]
time: 7.5173797607421875, score: [240.60854]
time: 8.745657682418823, score: [241.62965]
time: 10.007561922073364, score: [242.66197]
time: 11.311312198638916, score: [243.69917]
time: 12.69194221496582, score: [244.74158]
time: 14.066784858703613, score: [245.78452]
time: 15.53372836112976, score: [246.82758]
time: 16.981566429138184, score: [247.87068]
time: 18.51804757118225, score: [248.91452]
time: 20.048418760299683, score: [249.95866]
time: 21.649282932281494, score: [251.02177]
time: 23.244107484817505, score: [252.08559]
time: 24.870309352874756, score: [253.14964]
time: 26.515169620513916, score: [254.21364]
time: 28.233518838882446, score: [255.2777]
time: 30.104370594024658, score: [256.34174]
time: 31.84251570701599, score: [257.4058]
time: 33.60653805732727, score: [258.46985]
time: 35.474632263183594, score: [259.53387]
time: 37.35099506378174, score: [260.5979]
time: 39.2792181968689, score: [261.66193]
time: 41.17660045623779, score: [262.72598]
time: 43.10536599159241, score: [263.79]
time: 45.146379709243774, score: [264.85406]
time: 47.17580270767212, score: [265.9181]
time: 49.240026235580444, score: [266.98227]
time: 51.244648933410645, score: [268.04672]
time: 53.33305883407593, score: [269.11118]
time: 55.502593755722046, score: [270.1756]
time: 57.68297338485718, score: [271.24005]
time: 59.86097836494446, score: [272.3045]
time: 62.10198473930359, score: [273.36893]
time: 64.4563798904419, score: [274.43338]
time: 66.75560736656189, score: [275.49783]
time: 69.25205111503601, score: [276.56226]
time: 71.46602582931519, score: [277.6267]
time: 73.76608991622925, score: [278.69116]
time: 76.2694935798645, score: [279.75558]
time: 78.65889096260071, score: [280.82004]
time: 81.28911089897156, score: [281.88446]
time: 83.84279012680054, score: [282.9489]
time: 86.38336110115051, score: [284.01334]
time: 88.9139015674591, score: [285.07782]
time: 91.64819526672363, score: [286.14227]
time: 94.29643177986145, score: [287.2067]
time: 97.12184023857117, score: [288.27115]
time: 99.79751014709473, score: [289.33557]
time: 104.92766976356506, score: [290.40002]
time: 111.48156571388245, score: [291.46445]
time: 117.85617113113403, score: [292.52893]
time: 124.20682907104492, score: [293.59335]
time: 130.17038488388062, score: [294.6578]
time: 136.64651131629944, score: [295.72223]
time: 143.44808101654053, score: [296.78668]
time: 150.73897790908813, score: [297.8511]
time: 157.42126536369324, score: [298.91556]
time: 163.57792925834656, score: [299.97998]
time: 169.75876927375793, score: [301.04443]
time: 176.1728219985962, score: [302.1089]
time: 182.59185671806335, score: [303.17334]
time: 189.51194143295288, score: [304.2378]
time: 196.2979531288147, score: [305.30222]
time: 202.83987045288086, score: [306.36667]
time: 208.69110417366028, score: [307.4311]
time: 215.4331455230713, score: [308.49554]
