user 1   scene:1
time: 0.016077041625976562, score: [210.0946]
time: 0.03966498374938965, score: [213.87262]
time: 0.058815717697143555, score: [217.30667]
time: 0.07663440704345703, score: [220.74075]
time: 0.09657502174377441, score: [224.17487]
time: 0.11944198608398438, score: [227.64828]
time: 0.13722658157348633, score: [231.13992]
time: 0.15870332717895508, score: [234.63464]
time: 0.18215703964233398, score: [238.13077]
time: 0.20235371589660645, score: [241.63116]
time: 0.22803068161010742, score: [245.13275]
time: 0.2608616352081299, score: [248.63577]
time: 0.28615665435791016, score: [252.14041]
time: 0.30983710289001465, score: [255.64581]
time: 0.3368344306945801, score: [259.15225]
time: 0.361102819442749, score: [262.65952]
time: 0.38411402702331543, score: [266.1672]
time: 0.40819239616394043, score: [269.67487]
time: 0.4322209358215332, score: [273.18256]
time: 0.4558737277984619, score: [276.69022]
time: 0.47852182388305664, score: [280.1979]
time: 0.4960653781890869, score: [283.7056]
time: 0.5155248641967773, score: [287.2133]
time: 0.5450410842895508, score: [290.72098]
time: 0.5748922824859619, score: [294.22867]
time: 0.6128499507904053, score: [297.73636]
time: 0.6379954814910889, score: [301.24405]
time: 0.6582386493682861, score: [304.7517]
time: 0.6819617748260498, score: [308.25937]
time: 0.7030408382415771, score: [311.76706]
time: 0.7265660762786865, score: [315.27475]
time: 0.7506632804870605, score: [318.78244]
time: 0.7706611156463623, score: [322.29013]
time: 0.7895195484161377, score: [323.47638]
time: 0.8109691143035889, score: [323.47638]
time: 0.8310797214508057, score: [323.47638]
time: 0.8505020141601562, score: [323.47638]
time: 0.8706340789794922, score: [323.47638]
time: 0.8862826824188232, score: [323.47638]
time: 0.9107034206390381, score: [323.47638]
time: 0.9300220012664795, score: [323.47638]
time: 0.9496541023254395, score: [323.47638]
time: 0.9698538780212402, score: [323.47638]
time: 0.9888284206390381, score: [323.47638]
time: 1.0102484226226807, score: [323.47638]
time: 1.0341250896453857, score: [323.47638]
time: 1.0560688972473145, score: [323.47638]
time: 1.0881373882293701, score: [323.47638]
time: 1.1100635528564453, score: [323.47638]
time: 1.1330525875091553, score: [323.47638]
time: 1.154299259185791, score: [323.47638]
time: 1.1746032238006592, score: [323.47638]
time: 1.1976499557495117, score: [323.47638]
time: 1.2175517082214355, score: [323.47638]
