user 48   scene:3
time: 0.057817935943603516, score: [268.6553]
time: 0.22875332832336426, score: [275.8981]
time: 0.37992167472839355, score: [283.1868]
time: 0.5361568927764893, score: [290.55612]
time: 0.6924328804016113, score: [297.9346]
time: 0.8701565265655518, score: [305.31973]
time: 1.036135196685791, score: [312.7147]
time: 1.2070691585540771, score: [320.11688]
time: 1.384779453277588, score: [327.631]
time: 1.567497730255127, score: [335.2089]
time: 1.7404487133026123, score: [342.79745]
time: 1.9150621891021729, score: [350.39255]
time: 2.0948615074157715, score: [358.04123]
time: 2.3092124462127686, score: [365.85983]
time: 2.5074942111968994, score: [373.69205]
time: 2.7296462059020996, score: [381.5238]
time: 2.9086079597473145, score: [389.35992]
time: 3.1135432720184326, score: [397.19656]
time: 3.330151081085205, score: [405.03305]
time: 3.5139315128326416, score: [412.71585]
time: 3.6963891983032227, score: [419.99698]
time: 3.8876230716705322, score: [427.27414]
time: 4.088206052780151, score: [432.23734]
time: 4.27250075340271, score: [437.11755]
time: 4.4655797481536865, score: [441.97598]
time: 4.667782783508301, score: [445.70132]
time: 4.857974290847778, score: [450.52402]
time: 5.06125020980835, score: [455.3986]
time: 5.284334897994995, score: [460.34296]
time: 5.505626678466797, score: [465.68677]
time: 5.706747531890869, score: [471.032]
time: 5.936457872390747, score: [476.3777]
time: 6.127933502197266, score: [481.72794]
time: 6.3278303146362305, score: [485.66147]
time: 6.512868881225586, score: [487.33542]
time: 6.704454660415649, score: [488.80304]
time: 6.896924734115601, score: [490.21396]
time: 7.084986925125122, score: [491.66287]
time: 7.265232563018799, score: [493.00418]
time: 7.4530158042907715, score: [494.15628]
time: 7.654709815979004, score: [495.08115]
time: 7.840219020843506, score: [496.06308]
time: 8.024492502212524, score: [497.0571]
time: 8.230594873428345, score: [498.05045]
time: 8.434512853622437, score: [498.8726]
time: 8.630113363265991, score: [497.94766]
time: 8.842403411865234, score: [496.99014]
time: 9.04547643661499, score: [497.74896]
time: 9.287474632263184, score: [498.5085]
time: 9.551826000213623, score: [499.29453]
time: 9.768585920333862, score: [500.10736]
time: 10.002323150634766, score: [501.00223]
time: 10.218755006790161, score: [500.07907]
time: 10.404055833816528, score: [499.74973]
time: 10.599714994430542, score: [500.1047]
time: 10.792954921722412, score: [499.4589]
time: 10.982584953308105, score: [500.3328]
time: 11.19905400276184, score: [499.45798]
time: 11.457640647888184, score: [500.3041]
time: 11.68531608581543, score: [499.42502]
time: 11.904764652252197, score: [500.28174]
time: 12.126314640045166, score: [499.41455]
time: 12.350158214569092, score: [500.28433]
time: 12.567016839981079, score: [499.42422]
time: 12.785918951034546, score: [500.29465]
time: 12.858636856079102, score: [499.43088]
time: 13.05616307258606, score: [500.29694]
time: 13.254136085510254, score: [499.42935]
time: 13.426073789596558, score: [500.29358]
time: 13.601691961288452, score: [499.42618]
time: 13.74364423751831, score: [500.29166]
time: 13.919715404510498, score: [499.42575]
time: 14.087753534317017, score: [500.29233]
time: 14.236328840255737, score: [499.42685]
time: 14.393093347549438, score: [500.2933]
time: 14.57485556602478, score: [499.4274]
