user 57   scene:1
time: 0.07089638710021973, score: [210.3028]
time: 0.2445521354675293, score: [213.88495]
time: 0.38156890869140625, score: [217.31903]
time: 0.5143351554870605, score: [220.75308]
time: 0.6738989353179932, score: [224.18716]
time: 0.8308327198028564, score: [227.66153]
time: 0.9889681339263916, score: [231.15335]
time: 1.1430230140686035, score: [234.64804]
time: 1.3228745460510254, score: [238.14423]
time: 1.4649217128753662, score: [241.64465]
time: 1.60957932472229, score: [245.14627]
time: 1.7788960933685303, score: [248.64932]
time: 1.9452719688415527, score: [252.15393]
time: 2.100435733795166, score: [255.6594]
time: 2.2800133228302, score: [259.16583]
time: 2.4270503520965576, score: [262.67313]
time: 2.591994047164917, score: [266.1808]
time: 2.769784927368164, score: [269.68848]
time: 2.9300642013549805, score: [273.19614]
time: 3.1077990531921387, score: [276.70383]
time: 3.2722833156585693, score: [280.21152]
time: 3.435730218887329, score: [283.7192]
time: 3.502267599105835, score: [287.2269]
time: 3.691356658935547, score: [290.7346]
time: 3.8711745738983154, score: [294.24225]
time: 4.04996395111084, score: [297.74997]
time: 4.261474370956421, score: [301.25763]
time: 4.45577597618103, score: [304.76535]
time: 4.638393402099609, score: [308.27298]
time: 4.821767091751099, score: [311.78067]
time: 5.001893997192383, score: [315.28836]
time: 5.190088748931885, score: [318.79605]
time: 5.389909744262695, score: [322.30374]
time: 5.5806989669799805, score: [323.47638]
time: 5.781861782073975, score: [323.47638]
time: 5.990567922592163, score: [323.47638]
time: 6.189722537994385, score: [323.47638]
time: 6.417186498641968, score: [323.47638]
time: 6.664715766906738, score: [323.47638]
time: 6.868994474411011, score: [323.47638]
time: 7.077144384384155, score: [323.47638]
time: 7.310117959976196, score: [323.47638]
time: 7.529958724975586, score: [323.47638]
time: 7.756322145462036, score: [323.47638]
time: 8.019050598144531, score: [323.47638]
time: 8.264806509017944, score: [323.47638]
time: 8.539665699005127, score: [323.47638]
time: 8.810070037841797, score: [323.47638]
time: 9.0639488697052, score: [323.47638]
time: 9.298357248306274, score: [323.47638]
time: 9.575613498687744, score: [323.47638]
time: 9.797070264816284, score: [323.47638]
time: 10.074320077896118, score: [323.47638]
time: 10.35803747177124, score: [323.47638]
